dataset,display,model,eer,threshold,far,frr,accuracy,ece,n
asvspoof19,ASVspoof 2019 LA,AASIST,4.594960848425264,0.9998645782470703,0.045944084405622865,0.045955132562882396,0.9540547749062986,0.25747965119843313,71237
asvspoof19,ASVspoof 2019 LA,AASIST-L,6.744480406824183,0.9992135763168335,0.0674524905294136,0.06743711760707002,0.9325490966772885,0.2127481593423409,71237
asvspoof19,ASVspoof 2019 LA,AASIST3,20.829198149179323,2.4541902803321136e-06,0.20829028521336213,0.20829367777022434,0.7917093645156309,0.0911842815814262,71237
asvspoof19,ASVspoof 2019 LA,LFCC+LCNN,19.64213430902758,0.9915511608123779,0.19637769637769636,0.1964649898028552,0.8036132908460492,0.3377839865033505,71237
asvspoof19,ASVspoof 2019 LA,XLS-R+Nes2Net,0.44897010252864533,0.9997732043266296,0.004492658338812185,0.004486743711760707,0.995507952328144,0.07584467631992786,71237
asvspoof19,ASVspoof 2019 LA,XLS-R+AASIST,1.1716561196245323,0.9999402761459351,0.01174039635578097,0.01169272603670972,0.9882645254572764,0.04315989529994261,71237
asvspoof21,ASVspoof 2021 DF,AASIST,17.700468559561177,0.9876598715782166,0.1770051890624611,0.17700418212876246,0.8229948481916368,0.29068557939682615,458868
asvspoof21,ASVspoof 2021 DF,LFCC+LCNN,33.80995914124982,0.344375878572464,0.33809468850915725,0.33810449431583905,0.661904948699844,0.31910103142096724,458868
asvspoof21,ASVspoof 2021 DF,AASIST3,29.17582216033523,2.994903880448874e-08,0.29176878460977934,0.29174765859692525,0.7082319970013163,0.03551620922130146,458868
asvspoof21,ASVspoof 2021 DF,AASIST-L,19.131477484065336,0.9144641160964966,0.19131188460502704,0.19131766507627967,0.8086879015315951,0.2444824997786905,458868
asvspoof21,ASVspoof 2021 DF,XLS-R+Nes2Net,2.9277938933757217,0.288948655128479,0.029280976530411347,0.02927490133710314,0.9707192482369658,0.023787674607589675,458868
asvspoof5,ASVspoof 5 Track 1,AASIST,37.81197984802983,0.07235433161258698,0.37811998248430884,0.3781196144762877,0.6218800993260021,0.23847765741727395,140950
asvspoof5,ASVspoof 5 Track 1,LFCC+LCNN,22.599585288034334,0.9815196990966797,0.22600715224054882,0.22598455352013788,0.7739978715856687,0.24694071584984784,140950
asvspoof5,ASVspoof 5 Track 1,AASIST3,19.030713519711913,2.869016270778957e-06,0.19030980878703838,0.19030446160719985,0.8096913799219582,0.1609574375342547,140950
asvspoof5,ASVspoof 5 Track 1,AASIST-L,39.468499943499125,0.0422322042286396,0.3946869070208729,0.3946830918491096,0.6053139411138702,0.22867967146232743,140950
asvspoof5,ASVspoof 5 Track 1,XLS-R+Nes2Net,1.8033609732356917,0.006286791525781155,0.018035688220697708,0.018031531244016085,0.9819652358992551,0.014940931229975262,140950
asvspoof5,ASVspoof 5 Track 1,XLS-R+AASIST,2.551931387848526,0.0002906234876718372,0.02557108451320975,0.02546754324376077,0.9744519333096843,0.07739757568705083,140950
in_the_wild,In-the-Wild,AASIST,41.78904933164947,0.5675593018531799,0.41790792146242384,0.41787306517056555,0.5821139746373392,0.3113777934988481,31779
in_the_wild,In-the-Wild,AASIST-L,45.279904629590476,0.10674717277288437,0.45286052809749494,0.45273756449431446,0.5472167154410145,0.37121871733119083,31779
in_the_wild,In-the-Wild,AASIST3,40.117159365001285,6.429717647193911e-09,0.4011509817197021,0.4011922055803236,0.5988231221876081,0.6270088962580539,31779
in_the_wild,In-the-Wild,LFCC+LCNN,70.2316505830302,9.295561540056951e-06,0.702183480027082,0.702449531633522,0.297649391107335,0.6974417383463208,31779
in_the_wild,In-the-Wild,XLS-R+Nes2Net,5.573744272198083,0.019889067858457565,0.05577183480027082,0.05570305064369083,0.9442713741779163,0.1448988435938989,31779
